10
 0,0; 0.000000; 0 
 0,1; 5.000000; 0 2 1 
 0,2; 2.000000; 0 2 
 0,3; 3.000000; 0 2 3 
 0,4; 3.000000; 0 2 4 
 0,5; 5.000000; 0 2 3 5 
 0,6; 4.000000; 0 2 6 
 0,7; 8.000000; 0 2 3 5 7 
 0,8; 7.000000; 0 2 3 5 8 
 0,9; 6.000000; 0 2 4 9 
 1,0; 5.000000; 1 2 0 
 1,1; 0.000000; 1 
 1,2; 3.000000; 1 2 
 1,3; 4.000000; 1 2 3 
 1,4; 4.000000; 1 2 4 
 1,5; 6.000000; 1 2 3 5 
 1,6; 5.000000; 1 2 6 
 1,7; 9.000000; 1 2 3 5 7 
 1,8; 8.000000; 1 2 3 5 8 
 1,9; 7.000000; 1 2 4 9 
 2,0; 2.000000; 2 0 
 2,1; 3.000000; 2 1 
 2,2; 0.000000; 2 
 2,3; 1.000000; 2 3 
 2,4; 1.000000; 2 4 
 2,5; 3.000000; 2 3 5 
 2,6; 2.000000; 2 6 
 2,7; 6.000000; 2 3 5 7 
 2,8; 5.000000; 2 3 5 8 
 2,9; 4.000000; 2 4 9 
 3,0; 3.000000; 3 2 0 
 3,1; 4.000000; 3 2 1 
 3,2; 1.000000; 3 2 
 3,3; 0.000000; 3 
 3,4; 1.000000; 3 4 
 3,5; 2.000000; 3 5 
 3,6; 3.000000; 3 6 
 3,7; 5.000000; 3 5 7 
 3,8; 4.000000; 3 5 8 
 3,9; 4.000000; 3 4 9 
 4,0; 3.000000; 4 2 0 
 4,1; 4.000000; 4 2 1 
 4,2; 1.000000; 4 2 
 4,3; 1.000000; 4 3 
 4,4; 0.000000; 4 
 4,5; 2.000000; 4 5 
 4,6; 3.000000; 4 2 6 
 4,7; 5.000000; 4 5 7 
 4,8; 4.000000; 4 5 8 
 4,9; 3.000000; 4 9 
 5,0; 5.000000; 5 3 2 0 
 5,1; 6.000000; 5 3 2 1 
 5,2; 3.000000; 5 3 2 
 5,3; 2.000000; 5 3 
 5,4; 2.000000; 5 4 
 5,5; 0.000000; 5 
 5,6; 2.000000; 5 6 
 5,7; 3.000000; 5 7 
 5,8; 2.000000; 5 8 
 5,9; 5.000000; 5 4 9 
 6,0; 4.000000; 6 2 0 
 6,1; 5.000000; 6 2 1 
 6,2; 2.000000; 6 2 
 6,3; 3.000000; 6 3 
 6,4; 3.000000; 6 2 4 
 6,5; 2.000000; 6 5 
 6,6; 0.000000; 6 
 6,7; 5.000000; 6 5 7 
 6,8; 4.000000; 6 5 8 
 6,9; 6.000000; 6 2 4 9 
 7,0; 8.000000; 7 5 3 2 0 
 7,1; 9.000000; 7 5 3 2 1 
 7,2; 6.000000; 7 5 3 2 
 7,3; 5.000000; 7 5 3 
 7,4; 5.000000; 7 5 4 
 7,5; 3.000000; 7 5 
 7,6; 5.000000; 7 5 6 
 7,7; 0.000000; 7 
 7,8; 1.000000; 7 8 
 7,9; 8.000000; 7 5 4 9 
 8,0; 7.000000; 8 5 3 2 0 
 8,1; 8.000000; 8 5 3 2 1 
 8,2; 5.000000; 8 5 3 2 
 8,3; 4.000000; 8 5 3 
 8,4; 4.000000; 8 5 4 
 8,5; 2.000000; 8 5 
 8,6; 4.000000; 8 5 6 
 8,7; 1.000000; 8 7 
 8,8; 0.000000; 8 
 8,9; 7.000000; 8 5 4 9 
 9,0; 6.000000; 9 4 2 0 
 9,1; 7.000000; 9 4 2 1 
 9,2; 4.000000; 9 4 2 
 9,3; 4.000000; 9 4 3 
 9,4; 3.000000; 9 4 
 9,5; 5.000000; 9 4 5 
 9,6; 6.000000; 9 4 2 6 
 9,7; 8.000000; 9 4 5 7 
 9,8; 7.000000; 9 4 5 8 
 9,9; 0.000000; 9 
